[gpu_lock] train_qg: acquired after 0.0 min
Loaded 2628 frame triplets for train
Loaded 329 frame triplets for val
Train: 2628  Val: 329
Params: 2,678,003
Logging to qg_conv_lstm_fixed2_train.log
epoch  83  loss=0.00024  in=36.964  enh=37.828  ΔY=+0.6581  ΔU=+1.6205  ΔV=+1.4810  lr=1.0e-05  (159s)
epoch  84  loss=0.00024  in=37.079  enh=37.937  ΔY=+0.6572  ΔU=+1.6322  ΔV=+1.4835  lr=1.0e-05  (157s)
epoch  85  loss=0.00024  in=37.098  enh=37.944  ΔY=+0.6488  ΔU=+1.5973  ΔV=+1.4490  lr=1.0e-05  (159s)
epoch  86  loss=0.00024  in=37.243  enh=38.090  ΔY=+0.6501  ΔU=+1.6233  ΔV=+1.4706  lr=1.0e-05  (159s)
epoch  87  loss=0.00024  in=37.081  enh=37.937  ΔY=+0.6608  ΔU=+1.6563  ΔV=+1.4442  lr=1.0e-05  (157s)
epoch  88  loss=0.00024  in=37.049  enh=37.910  ΔY=+0.6640  ΔU=+1.6338  ΔV=+1.4922  lr=1.0e-05  (159s)
epoch  89  loss=0.00024  in=37.058  enh=37.916  ΔY=+0.6574  ΔU=+1.6176  ΔV=+1.4673  lr=1.0e-05  (159s)
epoch  90  loss=0.00024  in=37.114  enh=37.964  ΔY=+0.6452  ΔU=+1.6166  ΔV=+1.4700  lr=1.0e-05  (157s)
epoch  91  loss=0.00024  in=37.082  enh=37.937  ΔY=+0.6474  ΔU=+1.6220  ΔV=+1.4689  lr=1.0e-05  (160s)
epoch  92  loss=0.00024  in=37.007  enh=37.876  ΔY=+0.6546  ΔU=+1.6878  ΔV=+1.5124  lr=1.0e-05  (158s)
epoch  93  loss=0.00024  in=36.990  enh=37.833  ΔY=+0.6410  ΔU=+1.6076  ΔV=+1.5053  lr=1.0e-05  (157s)
epoch  94  loss=0.00024  in=37.288  enh=38.151  ΔY=+0.6561  ΔU=+1.6562  ΔV=+1.5223  lr=1.0e-05  (159s)
epoch  95  loss=0.00024  in=37.156  enh=38.008  ΔY=+0.6498  ΔU=+1.6112  ΔV=+1.4582  lr=1.0e-05  (157s)
epoch  96  loss=0.00024  in=37.101  enh=37.974  ΔY=+0.6676  ΔU=+1.6397  ΔV=+1.5305  lr=1.0e-05  (159s)
epoch  97  loss=0.00024  in=37.232  enh=38.107  ΔY=+0.6703  ΔU=+1.6179  ΔV=+1.4882  lr=1.0e-05  (159s)
epoch  98  loss=0.00024  in=37.208  enh=38.077  ΔY=+0.6670  ΔU=+1.6447  ΔV=+1.4935  lr=1.0e-05  (157s)
epoch  99  loss=0.00024  in=37.137  enh=37.986  ΔY=+0.6576  ΔU=+1.5717  ΔV=+1.4708  lr=1.0e-06  (159s)
  saved checkpoints/qg_conv_lstm_fixed2_epoch_100.pt
epoch 100  loss=0.00024  in=37.103  enh=37.977  ΔY=+0.6634  ΔU=+1.7015  ΔV=+1.4967  lr=1.0e-06  (158s)
epoch 101  loss=0.00024  in=37.075  enh=37.955  ΔY=+0.6707  ΔU=+1.6817  ΔV=+1.5168  lr=1.0e-06  (157s)
epoch 102  loss=0.00024  in=37.053  enh=37.929  ΔY=+0.6677  ΔU=+1.6549  ΔV=+1.5330  lr=1.0e-06  (159s)
epoch 103  loss=0.00024  in=37.134  enh=38.016  ΔY=+0.6727  ΔU=+1.6936  ΔV=+1.5049  lr=1.0e-06  (159s)
epoch 104  loss=0.00024  in=37.038  enh=37.924  ΔY=+0.6748  ΔU=+1.6903  ΔV=+1.5575  lr=1.0e-06  (157s)
epoch 105  loss=0.00024  in=37.099  enh=37.977  ΔY=+0.6710  ΔU=+1.6915  ΔV=+1.5478  lr=1.0e-06  (159s)
epoch 106  loss=0.00024  in=37.024  enh=37.889  ΔY=+0.6582  ΔU=+1.6714  ΔV=+1.5159  lr=1.0e-06  (156s)
epoch 107  loss=0.00024  in=37.094  enh=37.977  ΔY=+0.6773  ΔU=+1.6474  ΔV=+1.5158  lr=1.0e-06  (159s)
epoch 108  loss=0.00023  in=37.163  enh=38.047  ΔY=+0.6756  ΔU=+1.6741  ΔV=+1.5457  lr=1.0e-06  (159s)
epoch 109  loss=0.00024  in=36.993  enh=37.879  ΔY=+0.6794  ΔU=+1.6681  ΔV=+1.5043  lr=1.0e-06  (157s)
epoch 110  loss=0.00024  in=37.040  enh=37.910  ΔY=+0.6617  ΔU=+1.6962  ΔV=+1.5099  lr=1.0e-06  (159s)
epoch 111  loss=0.00024  in=37.104  enh=37.972  ΔY=+0.6689  ΔU=+1.6551  ΔV=+1.4828  lr=1.0e-06  (158s)
epoch 112  loss=0.00024  in=37.172  enh=38.052  ΔY=+0.6719  ΔU=+1.6781  ΔV=+1.5170  lr=1.0e-06  (156s)
epoch 113  loss=0.00024  in=37.133  enh=38.012  ΔY=+0.6753  ΔU=+1.6505  ΔV=+1.5227  lr=1.0e-06  (159s)
epoch 114  loss=0.00024  in=37.001  enh=37.885  ΔY=+0.6784  ΔU=+1.7053  ΔV=+1.5231  lr=1.0e-06  (158s)
epoch 115  loss=0.00024  in=37.219  enh=38.113  ΔY=+0.6878  ΔU=+1.6680  ΔV=+1.5373  lr=1.0e-06  (157s)
epoch 116  loss=0.00023  in=36.958  enh=37.829  ΔY=+0.6600  ΔU=+1.6630  ΔV=+1.5195  lr=1.0e-06  (159s)
epoch 117  loss=0.00024  in=37.096  enh=37.986  ΔY=+0.6814  ΔU=+1.6975  ΔV=+1.5368  lr=1.0e-06  (158s)
epoch 118  loss=0.00024  in=37.333  enh=38.215  ΔY=+0.6803  ΔU=+1.7056  ΔV=+1.5009  lr=1.0e-06  (157s)
epoch 119  loss=0.00024  in=37.006  enh=37.881  ΔY=+0.6708  ΔU=+1.6725  ΔV=+1.4857  lr=1.0e-06  (159s)
  saved checkpoints/qg_conv_lstm_fixed2_epoch_120.pt
0.6708  ΔU=+1.6725  ΔV=+1.4857  lr=1.0e-06  (159s)
