epoch 128  loss=0.00030  in=37.226  enh=37.229  ΔY=+0.0000  ΔU=+0.0120  ΔV=+0.0165  lr=1.0e-06  (59s)
epoch 129  loss=0.00030  in=37.108  enh=37.112  ΔY=+0.0002  ΔU=+0.0074  ΔV=+0.0228  lr=1.0e-06  (63s)
epoch 130  loss=0.00030  in=37.077  enh=37.078  ΔY=+0.0002  ΔU=+0.0052  ΔV=+0.0067  lr=1.0e-06  (58s)
epoch 131  loss=0.00030  in=37.033  enh=37.036  ΔY=+0.0001  ΔU=+0.0068  ΔV=+0.0105  lr=1.0e-06  (59s)
epoch 132  loss=0.00030  in=37.195  enh=37.197  ΔY=+0.0003  ΔU=+0.0074  ΔV=+0.0169  lr=1.0e-06  (60s)
epoch 133  loss=0.00030  in=37.031  enh=37.034  ΔY=+0.0001  ΔU=+0.0067  ΔV=+0.0197  lr=1.0e-06  (58s)
epoch 134  loss=0.00030  in=37.070  enh=37.072  ΔY=+0.0003  ΔU=+0.0011  ΔV=+0.0207  lr=1.0e-06  (62s)
epoch 135  loss=0.00029  in=36.984  enh=36.987  ΔY=+0.0000  ΔU=+0.0057  ΔV=+0.0167  lr=1.0e-06  (61s)
epoch 136  loss=0.00030  in=37.091  enh=37.094  ΔY=+0.0003  ΔU=+0.0073  ΔV=+0.0187  lr=1.0e-06  (58s)
epoch 137  loss=0.00029  in=37.088  enh=37.090  ΔY=+0.0002  ΔU=+0.0035  ΔV=+0.0169  lr=1.0e-06  (58s)
epoch 138  loss=0.00030  in=36.928  enh=36.931  ΔY=+0.0002  ΔU=+0.0054  ΔV=+0.0144  lr=1.0e-06  (61s)
epoch 139  loss=0.00031  in=37.285  enh=37.288  ΔY=+0.0004  ΔU=+0.0037  ΔV=+0.0169  lr=1.0e-06  (62s)
epoch 140  loss=0.00030  in=37.035  enh=37.037  ΔY=+0.0000  ΔU=+0.0056  ΔV=+0.0139  lr=1.0e-06  (58s)
epoch 141  loss=0.00030  in=37.291  enh=37.293  ΔY=+0.0003  ΔU=+0.0069  ΔV=+0.0157  lr=1.0e-06  (60s)
epoch 142  loss=0.00030  in=37.001  enh=37.004  ΔY=+0.0003  ΔU=+0.0038  ΔV=+0.0188  lr=1.0e-06  (59s)
epoch 143  loss=0.00030  in=37.206  enh=37.208  ΔY=+0.0001  ΔU=-0.0006  ΔV=+0.0107  lr=1.0e-06  (61s)
epoch 144  loss=0.00030  in=37.118  enh=37.120  ΔY=-0.0000  ΔU=+0.0082  ΔV=+0.0099  lr=1.0e-06  (62s)
epoch 145  loss=0.00030  in=37.180  enh=37.182  ΔY=+0.0002  ΔU=+0.0075  ΔV=+0.0118  lr=1.0e-06  (58s)
epoch 146  loss=0.00030  in=37.202  enh=37.205  ΔY=+0.0001  ΔU=+0.0157  ΔV=+0.0119  lr=1.0e-06  (57s)
epoch 147  loss=0.00030  in=37.149  enh=37.152  ΔY=+0.0003  ΔU=+0.0060  ΔV=+0.0141  lr=1.0e-06  (60s)
epoch 148  loss=0.00030  in=37.123  enh=37.126  ΔY=+0.0002  ΔU=+0.0014  ΔV=+0.0160  lr=1.0e-06  (61s)
epoch 149  loss=0.00030  in=37.168  enh=37.171  ΔY=+0.0002  ΔU=+0.0108  ΔV=+0.0229  lr=1.0e-07  (57s)
epoch 150  loss=0.00030  in=37.213  enh=37.217  ΔY=+0.0003  ΔU=+0.0065  ΔV=+0.0246  lr=1.0e-07  (61s)
epoch 151  loss=0.00030  in=37.019  enh=37.021  ΔY=+0.0001  ΔU=+0.0036  ΔV=+0.0176  lr=1.0e-07  (61s)
epoch 152  loss=0.00030  in=37.060  enh=37.063  ΔY=+0.0000  ΔU=+0.0097  ΔV=+0.0124  lr=1.0e-07  (59s)
epoch 153  loss=0.00030  in=37.060  enh=37.062  ΔY=+0.0002  ΔU=+0.0089  ΔV=+0.0143  lr=1.0e-07  (59s)
epoch 154  loss=0.00030  in=37.057  enh=37.060  ΔY=+0.0002  ΔU=+0.0080  ΔV=+0.0156  lr=1.0e-07  (60s)
epoch 155  loss=0.00030  in=37.190  enh=37.195  ΔY=+0.0005  ΔU=+0.0145  ΔV=+0.0236  lr=1.0e-07  (60s)
epoch 156  loss=0.00030  in=37.016  enh=37.018  ΔY=+0.0001  ΔU=+0.0109  ΔV=+0.0095  lr=1.0e-07  (59s)
epoch 157  loss=0.00030  in=37.089  enh=37.090  ΔY=+0.0000  ΔU=+0.0025  ΔV=+0.0061  lr=1.0e-07  (61s)
epoch 158  loss=0.00030  in=37.112  enh=37.114  ΔY=+0.0002  ΔU=+0.0085  ΔV=+0.0083  lr=1.0e-07  (61s)
epoch 159  loss=0.00030  in=37.177  enh=37.180  ΔY=+0.0001  ΔU=+0.0050  ΔV=+0.0180  lr=1.0e-07  (60s)
epoch 160  loss=0.00030  in=37.147  enh=37.148  ΔY=-0.0001  ΔU=+0.0106  ΔV=+0.0096  lr=1.0e-07  (60s)
epoch 161  loss=0.00030  in=37.104  enh=37.107  ΔY=+0.0002  ΔU=+0.0087  ΔV=+0.0125  lr=1.0e-07  (61s)
epoch 162  loss=0.00030  in=37.018  enh=37.020  ΔY=+0.0001  ΔU=+0.0033  ΔV=+0.0142  lr=1.0e-07  (63s)
epoch 163  loss=0.00030  in=37.076  enh=37.078  ΔY=+0.0002  ΔU=+0.0034  ΔV=+0.0125  lr=1.0e-07  (61s)
epoch 164  loss=0.00030  in=37.209  enh=37.212  ΔY=+0.0002  ΔU=+0.0037  ΔV=+0.0178  lr=1.0e-07  (59s)
epoch 165  loss=0.00030  in=37.031  enh=37.032  ΔY=+0.0003  ΔU=+0.0065  ΔV=+0.0007  lr=1.0e-07  (59s)
epoch 166  loss=0.00030  in=37.026  enh=37.029  ΔY=+0.0000  ΔU=+0.0063  ΔV=+0.0177  lr=1.0e-07  (62s)
epoch 167  loss=0.00030  in=37.149  enh=37.151  ΔY=+0.0004  ΔU=+0.0041  ΔV=+0.0189  lr=1.0e-07  (60s)
epoch 168  loss=0.00030  in=36.946  enh=36.948  ΔY=+0.0001  ΔU=+0.0055  ΔV=+0.0108  lr=1.0e-07  (60s)
epoch 169  loss=0.00030  in=37.222  enh=37.226  ΔY=+0.0004  ΔU=+0.0099  ΔV=+0.0234  lr=1.0e-07  (58s)
epoch 170  loss=0.00030  in=37.024  enh=37.027  ΔY=+0.0001  ΔU=+0.0105  ΔV=+0.0159  lr=1.0e-07  (56s)
epoch 171  loss=0.00030  in=37.258  enh=37.261  ΔY=+0.0004  ΔU=+0.0069  ΔV=+0.0165  lr=1.0e-07  (60s)
epoch 172  loss=0.00030  in=36.908  enh=36.911  ΔY=+0.0002  ΔU=+0.0092  ΔV=+0.0177  lr=1.0e-07  (61s)
epoch 173  loss=0.00030  in=37.137  enh=37.141  ΔY=+0.0002  ΔU=+0.0068  ΔV=+0.0175  lr=1.0e-07  (61s)
epoch 174  loss=0.00030  in=37.100  enh=37.103  ΔY=+0.0002  ΔU=+0.0052  ΔV=+0.0164  lr=1.0e-07  (60s)
epoch 175  loss=0.00030  in=37.002  enh=37.004  ΔY=+0.0003  ΔU=+0.0010  ΔV=+0.0179  lr=1.0e-07  (59s)
epoch 176  loss=0.00030  in=37.137  enh=37.140  ΔY=+0.0001  ΔU=+0.0060  ΔV=+0.0188  lr=1.0e-07  (60s)
epoch 177  loss=0.00030  in=37.041  enh=37.044  ΔY=+0.0004  ΔU=+0.0065  ΔV=+0.0187  lr=1.0e-07  (59s)
epoch 178  loss=0.00030  in=37.075  enh=37.077  ΔY=+0.0001  ΔU=+0.0021  ΔV=+0.0114  lr=1.0e-07  (59s)
epoch 179  loss=0.00029  in=37.207  enh=37.209  ΔY=+0.0003  ΔU=+0.0051  ΔV=+0.0182  lr=1.0e-07  (59s)
epoch 180  loss=0.00030  in=37.084  enh=37.087  ΔY=+0.0002  ΔU=+0.0063  ΔV=+0.0154  lr=1.0e-07  (61s)
epoch 181  loss=0.00030  in=37.110  enh=37.113  ΔY=-0.0001  ΔU=+0.0089  ΔV=+0.0134  lr=1.0e-07  (60s)
epoch 182  loss=0.00029  in=37.082  enh=37.085  ΔY=+0.0004  ΔU=+0.0039  ΔV=+0.0179  lr=1.0e-07  (62s)
epoch 183  loss=0.00029  in=36.976  enh=36.980  ΔY=+0.0003  ΔU=+0.0066  ΔV=+0.0207  lr=1.0e-07  (60s)
epoch 184  loss=0.00030  in=37.269  enh=37.272  ΔY=+0.0005  ΔU=+0.0069  ΔV=+0.0280  lr=1.0e-07  (59s)
epoch 185  loss=0.00030  in=37.040  enh=37.041  ΔY=+0.0003  ΔU=+0.0011  ΔV=+0.0125  lr=1.0e-07  (60s)
